Dino_X,Dino_Y,Star_X,Star_Y
55.3846,97.1795,58.2136,91.8819
51.5385,96.0256,58.1961,92.215
46.1538,94.4872,58.7182,90.3105
42.8205,91.4103,57.2784,89.9076
40.7692,88.3333,58.082,92.0081
38.7179,84.8718,57.4894,88.0853
35.641,79.8718,28.0887,63.5108
33.0769,77.5641,28.0855,63.5902
28.9744,74.4872,28.0873,63.1233
26.1538,71.4103,27.578,62.821
23.0769,66.4103,27.7799,63.5181
22.3077,61.7949,28.589,63.0241
22.3077,57.1795,28.7391,62.7209
23.3333,52.9487,27.0246,62.9019
25.8974,51.0256,28.8013,63.389
29.4872,51.0256,27.1865,63.5587
32.8205,51.0256,29.2851,63.3836
35.3846,51.4103,39.4029,51.1509
40.2564,51.4103,28.8113,61.3579
44.1026,52.9487,34.304,56.5421
46.6667,54.1026,29.6028,60.1573
50.0,55.2564,49.1162,63.66
53.0769,55.641,39.6175,62.9252
56.6667,56.0256,43.2331,63.1652
59.2308,57.9487,64.8928,65.8142
61.2821,62.1795,62.4901,74.5843
61.5385,66.4103,68.9881,63.2321
61.7949,69.1026,62.1056,75.9909
57.4359,55.2564,32.4618,62.8819
54.8718,49.8718,41.3272,49.0703
52.5641,46.0256,44.0071,46.4497
48.2051,38.3333,44.0741,34.5532
49.4872,42.1795,44.0013,33.9042
51.0256,44.1026,45.0063,38.299
45.3846,36.4103,44.4438,36.0191
42.8205,32.5641,42.1787,26.4921
38.7179,31.4103,44.0446,35.6622
35.1282,30.2564,41.6405,27.0931
32.5641,32.1795,41.9383,24.9915
30.0,36.7949,44.0539,33.5564
33.5897,41.4103,39.2067,51.5337
36.6667,45.641,28.7044,61.7775
38.2051,49.1026,31.7087,58.8378
29.7436,36.0256,42.8117,30.0204
29.7436,32.1795,43.3006,31.5264
30.0,29.1026,40.3986,16.347
32.0513,26.7949,40.4357,20.2327
35.8974,25.2564,40.9365,16.913
41.0256,25.2564,39.6616,15.6094
44.1026,25.641,40.8993,20.7985
47.1795,28.718,41.9686,26.4971
49.4872,31.4103,40.3834,21.3912
51.5385,34.8718,56.5381,32.4442
53.5897,37.5641,52.9707,29.0402
55.1282,40.641,54.621,30.3445
56.6667,42.1795,65.099,27.2416
59.2308,44.4872,63.056,29.7091
62.3077,46.0256,70.9601,41.2595
64.8718,46.7949,69.8958,43.4538
67.9487,47.9487,70.5959,41.9647
70.5128,53.718,69.647,44.0444
71.5385,60.641,77.393,63.3715
71.5385,64.4872,64.4008,67.4487
69.4872,69.4872,63.869,70.2137
46.9231,79.8718,56.5944,86.927
48.2051,84.1026,56.5313,87.4998
50.0,85.2564,59.6522,87.8095
53.0769,85.2564,56.6365,85.6375
55.3846,86.0256,58.6723,90.0772
56.6667,86.0256,58.2216,90.411
56.1538,82.9487,57.9147,89.9538
53.8462,80.641,55.3155,80.2519
51.2821,78.718,54.5757,77.5363
50.0,78.718,54.4131,78.2291
47.9487,77.5641,55.0745,79.8175
29.7436,59.8718,29.433,60.8018
29.7436,62.1795,29.4227,63.0685
31.2821,62.5641,29.0056,63.3908
57.9487,99.4872,58.4618,90.2653
61.7949,99.1026,57.9978,92.1599
64.8718,97.5641,57.5495,90.7489
68.4615,94.1026,59.5299,88.3273
70.7692,91.0256,58.2494,92.1297
72.0513,86.4103,58.0245,91.6944
73.8462,83.3333,58.3821,90.5535
